"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_tri[1]","both_touch",4.70970507854375,4.42844191370962,5.00845844187931,1.54962529004743,0.000347435721854362,0.0315417263372166,0.999645776951891,"All contacts"
"sigma0_loc","sigma0_loc",1.74843795685626,1.51167433480539,2.09025207738355,0.558722793252193,0.00178132259836065,0.0831386067976202,0.999417670443068,"All contacts"
"sigma0_hh","sigma0_hh",1.75871234247134,1.51561698082054,2.08172363582724,0.564581917687077,0.010422921984242,0.0815199673084553,1.06237324130363,"All contacts"
"sigma0_part","sigma0_part",7.49919608456795,6.93658936663018,8.10943891667361,2.01479582607287,0.00176687353898148,0.0405163934585755,1.00826537265012,"All contacts"
"sigma0_rd","sigma0_rd",1.3576732301885,1.0983568522464,2.7716149891893,0.305772374399814,0.0181088969282184,0.366265033871049,1.01017100828489,"All contacts"
"B_tri[1]","both_touch",2.77971934171431,2.26014177200244,3.42583807969055,1.02234996638825,0.00168728681096377,0.10711104546114,0.999567773456671,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.58037521249106,1.27349955151706,2.01540255805012,0.457662295106017,0.00590492319395334,0.11642864406845,1.02029786690273,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.64456903761351,1.19575156804099,2.4263278977076,0.497478366680069,0.0788410665051302,0.195523607301738,1.72280943050896,"Extra-household contacts"
"sigma0_part","sigma0_part",13.1003407544396,11.0605254115753,15.4784825638772,2.57263824165808,0.0124643134031526,0.0853661670862857,1.08082534273088,"Extra-household contacts"
"sigma0_rd","sigma0_rd",4.02651431324138,1.44142289250402,1412.18094260813,1.3929010670072,0.398663351152343,1.59135402394053,1.27766822307291,"Extra-household contacts"
