"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_part[1]","PART_MALE",0.681367859614318,0.578517662470679,0.797567099028581,-0.383652943029864,0.00241696192572983,0.081591574175898,1.00399579944373,"All contacts"
"sigma0_loc","sigma0_loc",1.75358699699911,1.51414537006984,2.13306102419437,0.561663402711626,0.00204170582753723,0.0864839866032319,1.00148655891948,"All contacts"
"sigma0_hh","sigma0_hh",1.77708553589948,1.49137090347081,2.07250210225483,0.574974683016581,0.0109698229636279,0.0856715977687659,1.07803872104897,"All contacts"
"sigma0_part","sigma0_part",7.41254253907256,6.83787307969573,8.05500382770714,2.00317350313673,0.00201001223619878,0.0419948198550442,1.00798880829955,"All contacts"
"sigma0_rd","sigma0_rd",1.40456779870633,1.09533791233481,4.20010603559005,0.339729638882901,0.0348462115455095,0.428329992525711,1.0228153130098,"All contacts"
"B_part[1]","PART_MALE",0.634007998051706,0.480841193840043,0.830778747173737,-0.455693709400971,0.00441013910427044,0.143953461649854,1.00365966917182,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.61895905641704,1.2883707001104,2.0511851605937,0.481783384948314,0.00557537690268196,0.118345708446795,1.01198332929462,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.59803721795094,1.14426813896248,2.61881796915077,0.468776137405123,0.113598130915378,0.237639580256664,1.64031437311847,"Extra-household contacts"
"sigma0_part","sigma0_part",13.5185338657787,11.4147559705033,15.9912186633036,2.6040616228543,0.0146036008155513,0.0870914914710544,1.06408088775559,"Extra-household contacts"
"sigma0_rd","sigma0_rd",3.72797776970355,1.4712021914183,193.224146439176,1.31586593374321,0.0832728818242219,1.24546388045241,1.01365745563053,"Extra-household contacts"
