"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_tri[1]","group_ind",0.133062544417048,0.124547990989431,0.141435998572565,-2.01693600252259,0.000597349360820827,0.0322586944353674,1.00020159258949,"All contacts"
"B_tri[2]","group_int",0.311178284433119,0.304149587917885,0.317949114324023,-1.16738926921188,0.000194597103388374,0.0113493797096021,1.0006433831474,"All contacts"
"sigma0_loc","sigma0_loc",1.49469010688085,1.35491423945618,1.69141588836595,0.401918898988538,0.00112111449774067,0.0560277871883264,1.00092111599381,"All contacts"
"sigma0_hh","sigma0_hh",1.29215533424192,1.12620714083688,1.42213746018537,0.256311625875056,0.0227582556970735,0.0626741902537323,1.31143931337617,"All contacts"
"sigma0_part","sigma0_part",2.60766095162395,2.48965407489868,2.74110842385398,0.95845363240158,0.00306601607944396,0.0249321900463858,1.04979646462476,"All contacts"
"sigma0_rd","sigma0_rd",1.31912728571774,1.08393885484902,2.63282214850394,0.276970370760573,0.017775599300825,0.284132877948096,1.02106126059833,"All contacts"
"B_tri[1]","group_ind",0.234036701396532,0.199351747639568,0.272965482397376,-1.45227733234818,0.00166792295764972,0.0793899328141471,1.00227099551847,"Extra-household contacts"
"B_tri[2]","group_int",0.354107234852348,0.3410375853057,0.367527493044103,-1.03815548840865,0.000321088236583037,0.018926363631377,1.00014553313752,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.24168766032017,1.10575112280721,1.39965487479582,0.216471470660886,0.00211552451671198,0.0593727732212861,1.00485997844466,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.37965091724658,1.11439901012954,1.61671524785311,0.321830508652738,0.0281649293410041,0.0923250438047802,1.28202406689177,"Extra-household contacts"
"sigma0_part","sigma0_part",2.88280758503959,2.62660280750606,3.17372156182139,1.05876467520094,0.0044355425433571,0.0491753890118287,1.03988912190114,"Extra-household contacts"
"sigma0_rd","sigma0_rd",1.47755603076779,1.1307813735015,3.67308693689447,0.390389392264543,0.0133198844050248,0.324447361822892,1.0097495601607,"Extra-household contacts"
