"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_obs[1]","occ_cat_student",0.95153149964372,0.879052819231312,1.03072332230691,-0.0496824875456393,0.00053213173007249,0.0406139284662761,0.999766622450817,"All contacts"
"2","B_obs[2]","occ_cat_other",0.623131286022015,0.593838296118733,0.653137643173778,-0.472998050417996,0.000324084246146427,0.0241729851561889,1.00014443798361,"All contacts"
"3","sigma0_loc","sigma0_loc",1.19942787347721,1.14042723255745,1.27482536399032,0.18184467099967,0.000469618237398256,0.0284580205126301,0.999438906634319,"All contacts"
"4","sigma0_hh","sigma0_hh",1.32891817278309,1.27404696998813,1.38545087167519,0.284365207318707,0.00126362607343259,0.0213525433581132,1.01759834825002,"All contacts"
"5","sigma0_rd","sigma0_rd",1.19045514152392,1.05401190206479,1.8328220336589,0.174335705868554,0.00761247579740752,0.173153353536601,1.00900663128334,"All contacts"
"6","sigma0_part","sigma0_part",1.5868627598868,1.53882875571691,1.63609704265539,0.461758960102782,0.000673342086620961,0.0159388997481142,1.00639754705301,"All contacts"
"7","sigma0_obs","sigma0_obs",1.94406341653605,1.91332090542316,1.97526759130552,0.664780327181093,0.000167366248519199,0.00813894127615891,1.00052835463493,"All contacts"
"8","B_obs[1]","occ_cat_student",0.848186469640845,0.744604744897593,0.961168353738321,-0.164654773918861,0.000973260845884739,0.0649416647331535,1.00021045719777,"Extra-household contacts"
"9","B_obs[2]","occ_cat_other",0.431482064773333,0.400464635004629,0.466016332417149,-0.840529334158341,0.000635354071071533,0.0387937651534725,1.00034293279116,"Extra-household contacts"
"10","sigma0_loc","sigma0_loc",1.30440564819406,1.21500273185321,1.42006874020266,0.265747495032558,0.000700126659190263,0.040815636023088,0.999737952185253,"Extra-household contacts"
"11","sigma0_hh","sigma0_hh",1.44277121264544,1.34076685145469,1.53703721435529,0.366565717426129,0.00280951388957798,0.0352805306298415,1.00706660722246,"Extra-household contacts"
"12","sigma0_rd","sigma0_rd",1.42212292808282,1.12122737987846,3.03503576820848,0.35215077496032,0.00906242317920091,0.283692604396164,1.01082688707847,"Extra-household contacts"
"13","sigma0_part","sigma0_part",2.09402812071482,1.99439051356719,2.2036785167821,0.739089541543856,0.00116824577947109,0.0254281190266306,1.00386579956172,"Extra-household contacts"
"14","sigma0_obs","sigma0_obs",2.81628729451025,2.73988623102377,2.89719906568472,1.03541945529013,0.000365366282240873,0.0143997232036699,1.00148265744573,"Extra-household contacts"
