"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_obs[1]","occ_cat_student",0.951146199137511,0.882216481257388,1.0244568164493,-0.050087496246506,0.000510374756524485,0.0386425176930648,0.999722421986975,"All contacts"
"2","B_obs[2]","occ_cat_other",0.623017020248104,0.592625395269447,0.654718776109008,-0.473181440747472,0.000351249764341753,0.0243894088824567,0.999797270393009,"All contacts"
"3","sigma0_loc","sigma0_loc",1.1993590716557,1.14162648545263,1.27979058773094,0.181787307154444,0.000473324417009669,0.0282751071999347,0.999580857105821,"All contacts"
"4","sigma0_hh","sigma0_hh",1.3275078475531,1.27211953146273,1.38494165747309,0.283303385644241,0.00116853892780315,0.0219662198880008,1.00716135383178,"All contacts"
"5","sigma0_rd","sigma0_rd",1.18424670165907,1.05297049749743,1.7452640617388,0.169106877645008,0.00673177238156489,0.157873287565214,1.00343089484818,"All contacts"
"6","sigma0_part","sigma0_part",1.58658782483212,1.53843102838442,1.63455497670856,0.461585688108763,0.000606151003761216,0.0154038466738779,1.00427108830958,"All contacts"
"7","sigma0_obs","sigma0_obs",1.9434695663828,1.91302732526141,1.97616389269123,0.664474812007085,0.000180251598741443,0.00822352956544773,0.999750575648039,"All contacts"
"8","B_obs[1]","occ_cat_student",0.849529634415497,0.749587620283923,0.96490143672176,-0.163072453940053,0.00119811522850864,0.0632381883264517,1.00037763114857,"Extra-household contacts"
"9","B_obs[2]","occ_cat_other",0.431874209806377,0.401662377089837,0.464539415172766,-0.839620914143204,0.000728657769769809,0.0373488709540589,1.00080078997472,"Extra-household contacts"
"10","sigma0_loc","sigma0_loc",1.30565601430375,1.21401988699896,1.42828982878471,0.266705607419943,0.000828341673653584,0.0417395319905945,1.00184914870027,"Extra-household contacts"
"11","sigma0_hh","sigma0_hh",1.42881723520641,1.33980622121844,1.5389624626763,0.356846993781793,0.00313487791878894,0.0356617031229791,1.02483665022668,"Extra-household contacts"
"12","sigma0_rd","sigma0_rd",1.40339217432339,1.11586174228296,2.91044660220605,0.338892287593764,0.0112956918642981,0.291844977213604,1.00344823026416,"Extra-household contacts"
"13","sigma0_part","sigma0_part",2.10215480961647,2.00183821819069,2.21276169503915,0.742962918466171,0.00121841704565829,0.0257078593198533,1.0057715717022,"Extra-household contacts"
"14","sigma0_obs","sigma0_obs",2.81250794144936,2.73409453394308,2.89310334543752,1.03407659115299,0.000385880785906598,0.0145393577470091,1.00188687646919,"Extra-household contacts"
