"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_tri[1]","freq_cat_1",0.0801852822904507,0.0745740162962497,0.0860093349690183,-2.52341529353806,0.000462466881154354,0.0354958391337285,1.000028976864,"All contacts"
"2","B_tri[2]","freq_cat_1_3",0.171424402609616,0.160912061710351,0.182733337199136,-1.76361291066762,0.000382995643946056,0.0326002368976369,0.999639059391603,"All contacts"
"3","sigma0_loc","sigma0_loc",1.69011532190531,1.45347394609477,2.02364056087886,0.524796764420683,0.00168150228947858,0.0846790317843107,1.00023244801644,"All contacts"
"4","sigma0_hh","sigma0_hh",1.86681560105319,1.55754500261356,2.17474689411351,0.624234092168733,0.00822592975185703,0.0846810101539845,1.01283910421887,"All contacts"
"5","sigma0_part","sigma0_part",7.28761742381209,6.73109494106448,7.91395339278112,1.98617666459134,0.00189259124404239,0.0414196413967666,1.00133399561518,"All contacts"
"6","sigma0_rd","sigma0_rd",1.35050970133509,1.10055811478224,2.64386406699493,0.30048207773831,0.00990548512914012,0.292722209628981,1.00333309501327,"All contacts"
"7","B_tri[1]","freq_cat_1",0.21188383073415,0.184010222384912,0.24417423367567,-1.55171712273473,0.00118264102351305,0.0721830926755604,1.00035097313514,"Extra-household contacts"
"8","B_tri[2]","freq_cat_1_3",0.349153097698874,0.304449068154815,0.402102979560931,-1.05224477761467,0.00109450364354397,0.0710240172667392,1.00011724838221,"Extra-household contacts"
"9","sigma0_loc","sigma0_loc",1.46789500653962,1.15518758556991,1.88895597498679,0.383829406203771,0.00582954738379507,0.124517920592703,1.01007062143635,"Extra-household contacts"
"10","sigma0_hh","sigma0_hh",2.07568800934063,1.48336061099158,2.99507263931338,0.730292669491794,0.0266029947155523,0.179381071814262,1.09265212761584,"Extra-household contacts"
"11","sigma0_part","sigma0_part",13.3450086286405,11.1685928708061,16.0004417775897,2.59114242943856,0.0068668888019197,0.0910548561113815,1.02666493249853,"Extra-household contacts"
"12","sigma0_rd","sigma0_rd",2.45466779095575,1.37221088620841,14.3878589362608,0.897991432723699,0.0227591984794262,0.712294621641093,1.00171383023048,"Extra-household contacts"
