"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_part[1]","PART_MALE",0.685618513667402,0.581876901141873,0.805096019046196,-0.377433908464263,0.00258993756817038,0.081293154509223,1.00371814420596,"All contacts"
"2","sigma0_loc","sigma0_loc",1.76853779180632,1.52475727842871,2.15097276822567,0.570153098847751,0.00191125648229015,0.0879049814218791,1.00073638801046,"All contacts"
"3","sigma0_hh","sigma0_hh",1.73623831777498,1.40599824741354,2.11502220095545,0.55172088664044,0.016623457962862,0.105854561951402,1.05563725131463,"All contacts"
"4","sigma0_part","sigma0_part",7.47763050458044,6.88447147095651,8.15764166070371,2.0119159643393,0.00349029982272332,0.0431616189227553,1.01926311064641,"All contacts"
"5","sigma0_rd","sigma0_rd",1.36327558203703,1.10279611908694,2.94667898037287,0.309890320125338,0.0152071223210668,0.29817645729394,1.00623381578377,"All contacts"
"6","B_part[1]","PART_MALE",0.626190427358093,0.474609134519463,0.828803398049887,-0.468100757082926,0.00491538512008486,0.142590710871366,1.00483526240346,"Extra-household contacts"
"7","sigma0_loc","sigma0_loc",1.55848159622561,1.21984721528148,1.99496207661943,0.443712011509789,0.00596973068431246,0.119120144495154,1.00545679793698,"Extra-household contacts"
"8","sigma0_hh","sigma0_hh",1.60195414752146,1.17029260514472,2.40212298629996,0.47122422621499,0.0603053766663067,0.193481902169257,1.60177420115546,"Extra-household contacts"
"9","sigma0_part","sigma0_part",13.7388785118925,11.7036599804938,16.3078146135288,2.62022966132993,0.00841549953615934,0.0859870911866573,1.05268514327697,"Extra-household contacts"
"10","sigma0_rd","sigma0_rd",3.6650623886677,1.49999005198116,70.5588824688914,1.29884535802257,0.0640140016488308,1.04253209616033,1.02079270506969,"Extra-household contacts"
