"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_tri[1]","occ_cat_student",1.59383229407717,1.34002049821692,1.89743746227998,0.466141364090936,0.0019129417480594,0.0886426150781618,1.00270011732318,"All contacts"
"B_tri[2]","occ_cat_other",3.46795741556617,3.24916918208812,3.70442151837023,1.2435657795944,0.000465917127623447,0.0334867694973486,0.999225030627214,"All contacts"
"sigma0_loc","sigma0_loc",1.8641629359051,1.59981461021258,2.25699533726573,0.622812124409453,0.00179730545883773,0.087804160517122,1.00006824366095,"All contacts"
"sigma0_hh","sigma0_hh",1.72686467491453,1.46270963521581,2.02431131156978,0.54630743761985,0.00978921446316566,0.0843738433033434,1.05072199424333,"All contacts"
"sigma0_part","sigma0_part",6.56572090537827,6.09202523144846,7.08535993025304,1.88186231214161,0.00189667893520895,0.0389934317756611,1.0096808384356,"All contacts"
"sigma0_rd","sigma0_rd",1.3371621480792,1.09627681285996,2.70984136432074,0.290549568312426,0.00970842845923333,0.266139736502539,1.00519392486506,"All contacts"
"B_tri[1]","occ_cat_student",8.46415359183945,5.70293353427823,12.6654430431523,2.13584002143516,0.0067397250264427,0.203389734498222,1.00483289845792,"Extra-household contacts"
"B_tri[2]","occ_cat_other",3.84333971258105,3.13627548306926,4.70152841722595,1.34634170543309,0.00238785268018735,0.104283750587096,1.00196525018963,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.66849202593954,1.35901917927119,2.09779863787328,0.511920240018691,0.00406998400381729,0.109563018593578,1.00723154186648,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.55964602904752,1.12508754757784,2.31108161853548,0.444458891058017,0.0927879213124645,0.20890425193136,1.73486946657997,"Extra-household contacts"
"sigma0_part","sigma0_part",11.5006919531628,9.77343565476213,13.5620989311296,2.44240720339931,0.0101577545720975,0.0838426607462845,1.06492629100117,"Extra-household contacts"
"sigma0_rd","sigma0_rd",5.06585411980194,1.53180625936485,1526.48447866412,1.62252275523158,0.322941278465093,1.70343772014313,1.17333144369058,"Extra-household contacts"
