"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_tri[1]","shared_location",43.0552025729809,41.0398335816404,45.2249849120877,3.76248307311862,0.000367551515918409,0.02466649205961,1.00033841188359,"All contacts"
"2","sigma0_loc","sigma0_loc",1.71856536460727,1.48683321198719,2.05859455185626,0.54148985243385,0.00207489051818212,0.0838946717811896,1.00231612825839,"All contacts"
"3","sigma0_hh","sigma0_hh",1.58572204044278,1.34100212878525,1.89215357483846,0.461039849620339,0.0171840060611043,0.0919043645041535,1.13695031946167,"All contacts"
"4","sigma0_part","sigma0_part",7.49679089831749,6.93726535822062,8.09243619222901,2.01447504875107,0.0027669019643008,0.0394019717915048,1.02860445239635,"All contacts"
"5","sigma0_rd","sigma0_rd",1.43226798101702,1.12622283409937,3.10435391380696,0.359259188612121,0.0104799044267278,0.300083552970124,1.00749147598048,"All contacts"
"6","B_tri[1]","shared_location",10.7839133476754,9.62794516290258,12.0796495313473,2.37805551887018,0.000885665516050768,0.0568026303474103,0.999817169017646,"Extra-household contacts"
"7","sigma0_loc","sigma0_loc",1.66624612683121,1.33740257691486,2.15790841902909,0.510573268025683,0.00459229059721426,0.118644455938244,1.00076261326662,"Extra-household contacts"
"8","sigma0_hh","sigma0_hh",1.56673433873444,1.14705232911385,2.33857655141985,0.448993414051906,0.0780080985318114,0.197326207418345,1.62263430778191,"Extra-household contacts"
"9","sigma0_part","sigma0_part",12.5933608481885,10.8155835655089,14.7459065232615,2.53316975827755,0.0094163171062854,0.0814381691573274,1.05135043698464,"Extra-household contacts"
"10","sigma0_rd","sigma0_rd",3.10199015842464,1.47431257393514,26.9017747637636,1.13204389209446,0.0377897709045535,0.767429014850951,1.0061853098344,"Extra-household contacts"
