"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_tri[1]","shared_location",41.323953310141,39.3933815628978,43.3999266196936,3.72144231513807,0.000303766944438308,0.0248049173282335,0.999095884936225,"All contacts"
"2","sigma0_loc","sigma0_loc",1.795223039152,1.54838822945325,2.15707022985128,0.585129270016118,0.00202582727830167,0.0865197844820341,0.999281190191542,"All contacts"
"3","sigma0_hh","sigma0_hh",1.69232868998178,1.28814207337725,2.00654562787825,0.526105503536308,0.0191009747810864,0.102763371854368,1.14238750304835,"All contacts"
"4","sigma0_part","sigma0_part",7.67994130617455,7.09905356732593,8.3776446082437,2.03861190470519,0.00353830034643341,0.0420901419652847,1.02403958769339,"All contacts"
"5","sigma0_rd","sigma0_rd",1.4663788414446,1.1116451020359,4.32988055219761,0.382795988528052,0.057425776320985,0.571162710809695,1.03865576794775,"All contacts"
"6","B_tri[1]","shared_location",12.2971692345769,10.9696990285032,13.7826949982892,2.50936909236095,0.000890581844761712,0.0582575306715552,0.999565686985491,"Extra-household contacts"
"7","sigma0_loc","sigma0_loc",1.81683891775299,1.45640403684087,2.32488050827789,0.597098132623923,0.00426282853117022,0.119298994682356,1.00221993375954,"Extra-household contacts"
"8","sigma0_hh","sigma0_hh",1.59033974313884,1.13425086668447,2.38446229837888,0.46394766833699,0.0642723716130344,0.192594431830883,1.75111474095688,"Extra-household contacts"
"9","sigma0_part","sigma0_part",13.850291707957,11.7261393590409,16.4513178206862,2.6283062943579,0.00810659052347062,0.0858237917624874,1.04901892090896,"Extra-household contacts"
"10","sigma0_rd","sigma0_rd",3.09292692207359,1.38074926136241,53.0157019781117,1.12911786654816,0.0617872227850276,1.00605254641825,1.01148617310073,"Extra-household contacts"
