"name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"B_tri[1]","both_touch",4.81157043764644,4.52253264228119,5.12008609674556,1.57102352514319,0.00036468741739524,0.0318192151326793,0.999616776283611,"All contacts"
"sigma0_loc","sigma0_loc",1.78751166633563,1.53834883837612,2.15600671518262,0.580824522186059,0.00215077461208014,0.0868210394001601,1.00328464386815,"All contacts"
"sigma0_hh","sigma0_hh",1.67642545086,1.24674282448417,2.031770957388,0.516663818807509,0.0248048032510112,0.117193440791608,1.18092913325321,"All contacts"
"sigma0_part","sigma0_part",7.5823896223403,6.99150077035567,8.26595060184536,2.0258284035792,0.00451749560854374,0.0431080020607066,1.03862569443783,"All contacts"
"sigma0_rd","sigma0_rd",1.36515471599136,1.10560082434889,2.76697759489351,0.311267767262472,0.0117426866301876,0.330733861191189,1.00341589528002,"All contacts"
"B_tri[1]","both_touch",2.89886877107395,2.32947412720509,3.6212239391473,1.06432058195183,0.00156891857504318,0.113472024621675,0.999213805765125,"Extra-household contacts"
"sigma0_loc","sigma0_loc",1.62727709842498,1.31224789526185,2.08226465599518,0.486908126227681,0.00444000453751052,0.117799974767016,1.00006808845545,"Extra-household contacts"
"sigma0_hh","sigma0_hh",1.88936185234669,1.20875290792874,2.73255924238892,0.636239127795881,0.0919369318751553,0.214698174849701,1.69551408521546,"Extra-household contacts"
"sigma0_part","sigma0_part",13.3972514450227,11.3269309847887,16.0519304276417,2.59504956987461,0.0133617389924967,0.0881656970483679,1.07154184362497,"Extra-household contacts"
"sigma0_rd","sigma0_rd",2.89603167412777,1.39847440969148,38.1285714994884,1.06334141166247,0.0423257345337168,0.934334844894036,1.00547448452193,"Extra-household contacts"
