"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_tri[1]","CONTACT_Touch",2.36759661149248,2.27597974677878,2.46113984475302,0.861875352634084,0.000263643516838919,0.0200839596693593,0.999898784664568,"All contacts"
"2","sigma0_loc","sigma0_loc",1.79479524676856,1.53694315169438,2.17756632107708,0.584890946781306,0.00194024214156693,0.0875123529596584,1.00083664673033,"All contacts"
"3","sigma0_hh","sigma0_hh",1.74203362187193,1.35515322237875,2.09933299350511,0.55505317897421,0.0156181215950553,0.106509662449641,1.07132007884151,"All contacts"
"4","sigma0_part","sigma0_part",7.56479745305339,6.98838505361844,8.25602821955336,2.02350557266554,0.00315573956073842,0.0429494391064064,1.01598645902167,"All contacts"
"5","sigma0_rd","sigma0_rd",1.41397498219164,1.11112460337146,3.17536932485618,0.346404874384083,0.0145030038265814,0.390795887265484,1.00221890958155,"All contacts"
"6","B_tri[1]","CONTACT_Touch",2.40640206593302,2.11644147290975,2.73935826994567,0.878132713289063,0.00101775793002147,0.0664271379414082,0.99982524399895,"Extra-household contacts"
"7","sigma0_loc","sigma0_loc",1.65262731191239,1.33769452357205,2.08593095785204,0.502366331780592,0.00452634750750466,0.114854675786156,1.00678163631213,"Extra-household contacts"
"8","sigma0_hh","sigma0_hh",1.66746579305888,1.21225356842129,2.47840265446603,0.511304984689512,0.0586241179374632,0.203604273755188,1.52020605777547,"Extra-household contacts"
"9","sigma0_part","sigma0_part",13.7502115206366,11.631858273189,16.4206607780054,2.62105420731328,0.00986743078389947,0.0882571861032317,1.04737053130869,"Extra-household contacts"
"10","sigma0_rd","sigma0_rd",3.18735231288833,1.40635255611216,68.8042840463589,1.15919057619962,0.0935461512623629,1.02680099831042,1.03849006479947,"Extra-household contacts"
