"","name","name_long","Estimate","CI_low","CI_high","mean","se_mean","sd","Rhat","Contact_type"
"1","B_tri[1]","CONTACT_Touch",2.3147504054087,2.22527023885122,2.40782329357443,0.839301865487465,0.000249458702281235,0.0201133784834536,0.999390522406625,"All contacts"
"2","sigma0_loc","sigma0_loc",1.75026420871596,1.5055528278104,2.102112971836,0.559766752948754,0.00192291744946655,0.0860282769869855,1.00192251138449,"All contacts"
"3","sigma0_hh","sigma0_hh",1.78444208366863,1.51831360831269,2.08295896423844,0.579105808206282,0.00872645764128621,0.0786489469793044,1.08390190524144,"All contacts"
"4","sigma0_part","sigma0_part",7.49868698441853,6.9255337545847,8.1372165913344,2.01472793647175,0.00135720744441352,0.0401746363214883,1.00668925993446,"All contacts"
"5","sigma0_rd","sigma0_rd",1.34314651778358,1.10268662682757,2.52325433123456,0.295015008972078,0.00664377229490977,0.248844650601388,1.00001824826517,"All contacts"
"6","B_tri[1]","CONTACT_Touch",2.27522925782355,2.00760130912036,2.5807179225434,0.822080819995382,0.00082103270962918,0.0636996691798763,0.99994120439415,"Extra-household contacts"
"7","sigma0_loc","sigma0_loc",1.60541567367256,1.25404321989912,2.03868625981789,0.473382709762586,0.00556413357889401,0.120560163036208,1.00204171606179,"Extra-household contacts"
"8","sigma0_hh","sigma0_hh",1.66612608059761,1.23222859108141,2.39796190748901,0.510501219511188,0.0366432029437649,0.180572670179101,1.11182081293975,"Extra-household contacts"
"9","sigma0_part","sigma0_part",13.1040156560477,11.1499580641443,15.4523351791651,2.57291872186333,0.00659829792875981,0.0843191350329668,1.02296734715583,"Extra-household contacts"
"10","sigma0_rd","sigma0_rd",3.44318080216423,1.44648485212535,97.7391171216945,1.2363956959501,0.0758624962435664,1.09088720472109,1.00687007596897,"Extra-household contacts"
